d1cxca_	99.8	6.7E-27	150.1
d2bh4x_	99.8	3.5E-26	151.1
d1cota_	99.8	5E-26	150.1
d1vyda_	99.8	5.5E-26	148.6
d155ca_	99.8	2.4E-24	145.5
d1i8oa_	99.4	3.7E-18	106.2
d1jdla_	99.4	1.9E-17	99.2
d3c2ca_	99.2	1.4E-15	92.8
d4gedb_	98.7	1.1E-12	75.2
d1qn2a_	98.7	1.6E-12	75.7
d1ytca_	98.6	5.2E-12	73.3
d1ql3a_	98.6	5.6E-12	73.0
d2jtib_	98.5	8.1E-12	72.1
d1yeba_	98.5	8.3E-12	72.9
d1co6a_	98.5	1.2E-11	72.0
d1raqa_	98.5	1.3E-11	70.6
d2aiua_	98.5	1.6E-11	70.7
d5cytr_	98.5	1.6E-11	70.0
d2yk3a_	98.4	1.7E-11	71.4
d4nfgb_	98.4	3.2E-11	68.4
d3zooa_	98.3	4.8E-11	68.2
d1hroa_	98.3	7.9E-11	67.3
d4q5pa_	98.3	8.6E-11	67.3
d4n0ka1	98.3	1E-10	67.5
d1ccra_	98.2	1.3E-10	67.2
d2b4za_	98.2	1.7E-10	66.0
d1lmsa_	98.2	2.1E-10	66.3
d2ce0a_	96.8	9.7E-07	47.8
d1e29a_	96.1	1.4E-05	48.9
d1wvec_	95.4	7.5E-05	38.7
d1c52a_	95.1	0.00016	43.4
d1m70a1	94.7	0.00024	37.6
d3vrda1	93.2	0.0013	35.0
d1fcdc1	93.1	0.0013	34.9
d4j20a_	92.3	0.0023	32.9
d1dvha_	90.9	0.0048	31.4
d1c53a_	90.0	0.0071	30.9
d3na1c_	89.9	0.0084	31.1
d1cnoa_	88.4	0.012	30.0
d1jmxa1	87.5	0.016	31.2
d3n9yc_	80.5	0.064	28.7
d1k7ka1	38.3	1.6	26.9
d4bnqa_	38.1	1.6	26.9
d1ryqa1	36.4	2.1	23.4
